linea,estacion,concurrencia,final,lon,lat
L1,HOSPITAL DE BELLVITGE,852653,1,2.107269,41.344706
L1,BELLVITGE,1192851,0,2.110944,41.351005
L1,AV. CARRILET,2188537,0,2.102659,41.358582
L1,R.J.OLIVERAS,1298314,0,2.099776,41.364118
L1,CAN SERRA,1169192,0,2.102785,41.367722
L1,FLORIDA,1488867,0,2.110054,41.368344
L1,TORRASSA,2565326,0,2.115783,41.368251
L1,STA. EULÀLIA,2963090,0,2.128644,41.368844
L1,MERCAT NOU,911450,0,2.133563,41.373031
L1,PL. DE SANTS,1278840,0,2.138181,41.375381
L1,HOSTAFRANCS,1083943,0,2.143318,41.375282
L1,ESPANYA,5043327,0,2.149409,41.375538
L1,ROCAFORT,2361564,0,2.154588,41.37926
L1,URGELL,2056317,0,2.158917,41.382515
L1,UNIVERSITAT,2839572,0,2.16431,41.385843
L1,CATALUNYA,3899853,0,2.169021,41.387517
L1,URQUINAONA,1986383,0,2.173471,41.387989
L1,ARC DEL TRIOMF,3183732,0,2.181191,41.392365
L1,MARINA,2098088,0,2.185827,41.394753
L1,GLÒRIES,3760515,0,2.187563,41.402305
L1,CLOT,2339008,0,2.187029,41.410191
L1,NAVAS,1377947,0,2.187083,41.416215
L1,SAGRERA,2667274,0,2.187001,41.422397
L1,FABRA I PUIG,3685456,0,2.183687,41.429661
L1,ST. ANDREU,2310442,0,2.191213,41.436628
L1,TORRAS I BAGES,1385162,0,2.190697,41.443253
L1,TRINITAT VELLA,844891,0,2.193862,41.448984
L1,BARÓ DE VIVER,262232,0,2.199588,41.449964
L1,STA. COLOMA,1927346,0,2.207994,41.451095
L1,FONDO,2758801,1,2.21846,41.451611
L2,PARAL.LEL,1887111,1,2.169144,41.374921
L2,SANT ANTONI,2331171,0,2.163267,41.379861
L2,UNIVERSITAT,1421774,0,2.16431,41.385843
L2,PG. DE GRÀCIA,1683152,0,2.168269,41.389444
L2,TETUAN,1362361,0,2.175585,41.394915
L2,MONUMENTAL,1052454,0,2.179488,41.400552
L2,SGDA. FAMÍLIA,2575741,0,2.173644,41.403863
L2,ENCANTS,1168616,0,2.182726,41.407264
L2,CLOT,1223753,0,2.187029,41.410191
L2,BAC DE RODA,1511495,0,2.195529,41.41519
L2,SANT MARTÍ,1665580,0,2.20075,41.419092
L2,LA PAU,1043791,0,2.205634,41.424061
L2,VERNEDA,351857,0,2.209909,41.430032
L2,ARTIGUES | S. ADRIÀ,2170799,0,2.217798,41.433876
L2,SANT ROC,969535,0,2.228632,41.435859
L2,GORG,749746,0,2.233466,41.440265
L2,PEP VENTURA,985254,0,2.237984,41.443933
L2,BADALONA | POMPEU FABRA,2319036,1,2.244122,41.449082
L3,Z.UNIVERSITÀRIA,1232493,1,2.111205,41.384143
L3,PALAU REIAL,1420496,0,2.118564,41.386008
L3,MARIA CRISTINA,1603123,0,2.125817,41.387844
L3,LES CORTS,1194151,0,2.130897,41.384148
L3,PL. DEL CENTRE,871638,0,2.13591,41.38195
L3,SANTS ESTACIÓ,1793168,0,2.141018,41.381626
L3,TARRAGONA,774260,0,2.145362,41.378521
L3,ESPANYA,2675131,0,2.149409,41.375538
L3,POBLE SEC,2462470,0,2.160272,41.375024
L3,PARAL.LEL,2683577,0,2.169144,41.374921
L3,DRASSANES,2446145,0,2.17569,41.376567
L3,LICEU,3658884,0,2.173056,41.381473
L3,CATALUNYA,4687887,0,2.169021,41.387517
L3,P. DE GRÀCIA,2411211,0,2.165373,41.391631
L3,DIAGONAL,2621997,0,2.158856,41.394463
L3,FONTANA,2353214,0,2.153048,41.402037
L3,LESSEPS,2586575,0,2.150433,41.405766
L3,VALLCARCA,1363834,0,2.144363,41.412003
L3,PENITENTS,675733,0,2.140998,41.418307
L3,VALL D´HEBRON,1154544,0,2.142382,41.425021
L3,MONTBAU,743643,0,2.145065,41.430648
L3,MUNDET,1062559,0,2.148498,41.435673
L3,VALLDAURA,633429,0,2.156904,41.438024
L3,CANYELLES,766623,0,2.166414,41.441782
L3,ROQUETES,727302,0,2.176124,41.447698
L3,TRINITAT NOVA,508105,1,2.184122,41.449528
L4,LA PAU,514106,1,2.205634,41.424061
L4,BESÒS,640557,0,2.210257,41.419929
L4,BESÒS MAR,1050909,0,2.216108,41.415127
L4,MARESME - FÒRUM,1571655,0,2.216718,41.411808
L4,SELVA DE MAR,990366,0,2.209148,41.40803
L4,POBLENOU,1599696,0,2.203397,41.403744
L4,LLACUNA,1148408,0,2.197738,41.399453
L4,BOGATELL,895710,0,2.192038,41.395136
L4,CIUTADELLA,1398621,0,2.193017,41.386715
L4,BARCELONETA,2787751,0,2.184813,41.381839
L4,JAUME I,2747751,0,2.178557,41.384154
L4,URQUINAONA,2027071,0,2.173471,41.387989
L4,P. DE GRÀCIA,1598693,0,2.167872,41.390085
L4,GIRONA,934262,0,2.170851,41.394948
L4,VERDAGUER,1107942,0,2.168086,41.400393
L4,JOANIC,2510889,0,2.163251,41.406455
L4,ALFONS X,1628498,0,2.166408,41.412405
L4,GUINARDÓ,1093967,0,2.174015,41.41599
L4,MARAGALL,939452,0,2.176511,41.425073
L4,LLUCMAJOR,1683368,0,2.173369,41.437013
L4,VIA JÚLIA,1449461,0,2.178576,41.443758
L4,TRINITAT NOVA,421243,1,2.184122,41.449528
L9N,SAGRERA,281351,1,2.186749,41.420522
L9N,ONZE DE SETEMBRE,506260,0,2.19359,41.429587
L9N,BON PASTOR,904770,0,2.20532,41.436231
L9N,CAN PEIXAUET,694304,0,2.210052,41.444014
L9N,SANTA ROSA,723808,0,2.215834,41.446878
L9N,FONDO,207651,0,2.21846,41.451611
L9N,ESGLÉSIA MAJOR,231539,0,2.212202,41.454825
L9N,SINGUERLÍN,468363,0,2.205454,41.459442
L9N,CAN ZAM,268565,1,2.198594,41.456694
L9S,AEROPORT T1,1001916,1,2.07118,41.288324
L9S,AEROPORT T2,534225,0,2.073141,41.303852
L9S,MAS BLAU,235409,0,2.073499,41.311254
L9S,PARC NOU,328913,0,2.087956,41.316657
L9S,CÈNTRIC,751112,0,2.09349,41.322279
L9S,EL PRAT ESTACIÓ,378780,0,2.089954,41.332022
L9S,LES MORERES,486022,0,2.1031,41.329148
L9S,MERCABARNA,406976,0,2.111281,41.333514
L9S,PARC LOGÍSTIC,126221,0,2.127428,41.341693
L9S,FIRA,441295,0,2.130479,41.352017
L9S,EUROPA - FIRA,1093738,0,2.125951,41.357589
L9S,CAN TRIES - GORNAL,474074,0,2.11802,41.360923
L9S,TORRASSA,383324,0,2.115783,41.368251
L9S,COLLBLANC,377506,0,2.119222,41.375772
L9S,ZONA UNIVERSITÀRIA,410831,1,2.111205,41.384143
L10N,SAGRERA,281351,1,2.186749,41.420522
L10N,ONZE DE SETEMBRE,506260,0,2.19359,41.429587
L10N,BON PASTOR,904770,0,2.20532,41.436231
L10N,LLEFIÀ,839456,0,2.216931,41.441388
L10N,LA SALUT,1218113,1,2.224762,41.442845
L10S,ZAL - RIU VELL,179182,1,2.133122,41.323735
L10S,ECOPARC,97866,0,2.137098,41.330188
L10S,P. COMERCIAL - LA FACTORIA,60136,0,2.140684,41.336012
L10S,ZONA FRANCA,96357,0,2.144991,41.343005
L10S,FOC,438934,0,2.141831,41.35619
L10S,FONERIA,457028,0,2.138256,41.361128
L10S,CIUTAT DE LA JUSTÍCIA,351060,0,2.132342,41.363166
L10S,PROVENÇANA,409516,0,2.124127,41.361383
L10S,CAN TRIES - GORNAL,474074,0,2.11802,41.360923
L10S,TORRASSA,383324,1,2.115783,41.368251
L5,CORNELLÀ CENTRE,1885600,1,2.070455,41.357319
L5,GAVARRA,854978,0,2.079296,41.358022
L5,ST. ILDEFONS,1794650,0,2.08442,41.363409
L5,CAN BOIXERES,720939,0,2.091533,41.366599
L5,CAN VIDALET,2100572,0,2.099472,41.371307
L5,PUBILLA CASAS,2778387,0,2.107236,41.373866
L5,ERNEST LLUCH,1438919,0,2.112054,41.375926
L5,COLLBLANC,3749397,0,2.119222,41.375772
L5,BADAL,2434301,0,2.127429,41.375609
L5,PL. DE SANTS,1895215,0,2.138181,41.375381
L5,SANTS ESTACIÓ,3930418,0,2.141018,41.381626
L5,ENTENÇA,2202493,0,2.145645,41.384495
L5,H. CLÍNIC,3838270,0,2.151107,41.388636
L5,DIAGONAL,5970465,0,2.158856,41.394463
L5,VERDAGUER,2509019,0,2.168086,41.400393
L5,SGDA. FAMÍLIA,3834546,0,2.175132,41.404013
L5,H. DE ST. PAU,2467331,0,2.174015,41.41599
L5,CAMP DE L´ARPA,1627698,0,2.181523,41.415088
L5,SAGRERA,3420685,0,2.186608,41.421324
L5,CONGRÉS,975228,0,2.181212,41.423468
L5,MARAGALL,1413855,0,2.176511,41.425073
L5,VIRREI AMAT,2246445,0,2.174939,41.429731
L5,VILAPICINA,1571336,0,2.167645,41.430493
L5,HORTA,1762689,0,2.16,41.429721
L5,EL CARMEL,1821968,0,2.155125,41.424478
L5,EL COLL | LA TEIXONERA,1022259,0,2.148374,41.422025
L5,VALL D´HEBRON,751654,1,2.142382,41.425021
L11,TRINITAT NOVA,54381,1,2.184122,41.449528
L11,CASA DE L'AIGUA,27519,0,2.184865,41.451306
L11,TORRE BARÓ|VALLBONA,165729,0,2.179909,41.459224
L11,CIUTAT MERIDIANA,309620,0,2.174675,41.460836
L11,CAN CUIÀS,159627,1,2.173084,41.462441
L7,CATALUNYA,500478,1,2.17,41.386944
L7,PROVENÇA,278761,0,2.15745,41.39328
L7,GRÀCIA,130550,0,2.15209,41.39972
L7,PLAÇA MOLINA,6760,0,2.1475,41.401389
L7,PÀDUA,6575,0,2.14305,41.40333
L7,EL PUTXET,16737,0,2.139,41.405819
L7,AVINGUDA TIBIDABO,12038,1,2.137091,41.410024
L8,PLAÇA ESPANYA,454431,1,2.14851,41.3746
L8,MAGÒRIA-LA CAMPANA,194164,0,2.13961,41.36818
L8,ILDEFONS CERDÀ,87764,0,2.13016,41.36118
L8,EUROPA FIRA,41012,0,2.1246,41.35724
L8,GORNAL,25830,0,2.11704,41.35521
L8,SANT JOSEP,32540,0,2.11032,41.36102
L8,ALMEDA,35317,0,2.08466,41.35315
L8,CORNELLÀ RIERA,17490,0,2.07075,41.35182
L8,MOLÍ NOU-CIUTAT COOPERATIVA,1068,1,2.035,41.35832
L13,SAGRERA,0,1,2.187001,41.422397
L13,CORTE INGLÉS - CAN DRAGÓ,0,0,2.17921,41.43377
L13,PROSPERITAT,0,0,2.18431,41.445076
L13,TRINITAT NOVA,0,0,2.184122,41.449528
L13,VALLBONA,0,0,2.18487,41.4696711
L13,MONTCADA I REIXAC,0,0,2.18816,41.484119
L13, MONTCADA I REIXAC - MAS RAMPINYO,0,0,2.177623,41.493281
L13,RIPOLLET,0,0,2.1653,41.496498
L13,CERDANYOLA DEL VALLÈS,0,0,2.147826,41.49247
L13,CERDANYOLA-UAB,1,0,2.10403,41.50332
L6,CATALUNYA,4687887,0,2.169021,41.387517
L6,PROVENÇA,4058475,0,2.15972,41.39472
L6,GRÀCIA,1742265,0,2.152167,41.399556
L6,SANT GERVASI,455352,0,2.14722,41.40111
L6,MUNTANER,1238265,0,2.142222,41.399444
L6,LA BONANOVA,528761,0,2.1378,41.3979
L6,LES TRES TORRES,654645,0,2.13056,41.3975
L6,SARRIÀ,2266318,0,2.12528,41.3986
L6,REINA ELISENDA,245452,1,2.118234,41.392787
